City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Mantua,IT,2021-02-03 06:28:54,45.1667,10.7833,39.99,97,27,1.01
247,Meulaboh,ID,2021-02-03 06:26:45,4.1363,96.1285,84.51,70,80,5.79
248,Aksarka,RU,2021-02-03 06:28:54,66.5606,67.7975,6.6,93,99,6.62
249,Emmett,US,2021-02-03 06:28:54,43.8735,-116.4993,39.0,60,100,3.0
250,Nhulunbuy,AU,2021-02-03 06:25:20,-12.2333,136.7667,84.2,74,75,5.75
251,Namibe,AO,2021-02-03 06:26:18,-15.1961,12.1522,71.28,79,51,7.34
252,Jishou,CN,2021-02-03 06:28:55,28.3167,109.7167,50.13,76,70,2.73
253,Bairiki,KI,2021-02-03 06:28:55,1.3292,172.9752,82.4,78,75,8.05
254,Otane,NZ,2021-02-03 06:28:55,-39.8833,176.6333,70.0,58,0,1.99
255,Husavik,IS,2021-02-03 06:28:55,66.0449,-17.3389,10.4,79,0,4.61
256,Fairview,US,2021-02-03 06:28:55,40.8126,-73.999,32.0,74,90,5.75
257,Benguela,AO,2021-02-03 06:26:20,-12.5763,13.4055,75.09,73,62,1.61
258,Bereda,ES,2021-02-03 06:28:55,43.2686,-7.5406,48.99,94,39,10.0
259,Doka,SD,2021-02-03 06:28:55,13.5167,35.7667,81.25,32,0,13.91
260,Emerald,AU,2021-02-03 06:28:55,-23.5333,148.1667,96.8,24,32,8.05
261,Arman,RU,2021-02-03 06:28:35,59.7,150.1667,-14.24,80,39,14.03
262,Goroka,PG,2021-02-03 06:28:56,-6.0834,145.3873,65.93,86,93,1.25
263,Namwala,ZM,2021-02-03 06:28:56,-15.7504,26.4384,68.59,95,100,3.09
264,Zyryanka,RU,2021-02-03 06:28:56,65.75,150.85,-20.27,87,100,7.18
265,Saskylakh,RU,2021-02-03 06:26:29,71.9167,114.0833,-3.5,90,100,12.55
266,Oleksandrivka,UA,2021-02-03 06:28:43,48.9634,32.2349,34.25,98,100,6.4
267,Celestun,MX,2021-02-03 06:28:56,20.8667,-90.4,63.55,67,20,5.53
268,Dingle,PH,2021-02-03 06:28:00,10.9995,122.6711,82.17,76,57,14.99
269,Basco,PH,2021-02-03 06:28:56,20.4487,121.9702,72.48,77,82,27.22
270,Kyra,RU,2021-02-03 06:28:56,49.5776,111.9753,3.99,83,5,4.68
271,Umm Lajj,SA,2021-02-03 06:28:40,25.0213,37.2685,76.1,70,1,5.5
272,Kiunga,PG,2021-02-03 06:28:20,-6.1219,141.2906,85.21,83,60,4.36
273,Stornoway,GB,2021-02-03 06:26:15,58.2093,-6.3865,37.4,65,0,20.71
274,Leiria,PT,2021-02-03 06:28:57,39.7436,-8.8071,57.2,94,75,9.22
275,Matara,LK,2021-02-03 06:27:00,5.9485,80.5353,86.05,61,62,4.99
276,Saldanha,ZA,2021-02-03 06:26:13,-33.0117,17.9442,66.2,77,0,10.36
277,Auki,SB,2021-02-03 06:28:57,-8.7676,160.7034,77.32,93,100,13.49
278,Clyde River,CA,2021-02-03 06:26:33,70.4692,-68.5914,-29.2,68,1,3.44
279,Mehamn,NO,2021-02-03 06:26:34,71.0357,27.8492,26.6,59,40,27.63
280,Nishihara,JP,2021-02-03 06:28:57,26.1842,127.7558,66.2,36,40,11.5
281,Santa Cruz De Tenerife,ES,2021-02-03 06:28:57,28.4682,-16.2546,61.0,94,40,10.36
282,Vereshchagino,RU,2021-02-03 06:28:58,58.0789,54.6557,8.02,96,81,8.48
283,Arinos,BR,2021-02-03 06:28:58,-15.9169,-46.1056,70.68,93,98,1.07
284,Gamba,GA,2021-02-03 06:27:33,-2.65,10.0,77.7,84,98,5.5
285,Kariba,ZW,2021-02-03 06:28:58,-16.5167,28.8,72.43,92,91,5.46
286,Berezovyy,RU,2021-02-03 06:28:58,51.6667,135.7,-16.08,73,72,3.13
287,Peniche,PT,2021-02-03 06:28:58,39.3558,-9.3811,59.0,87,48,8.99
288,Northam,GB,2021-02-03 06:28:43,51.0333,-4.2167,46.0,95,94,3.0
289,Minggang,CN,2021-02-03 06:28:58,32.4586,114.0486,62.65,33,0,7.25
290,Chokurdakh,RU,2021-02-03 06:27:13,70.6333,147.9167,-2.94,92,72,9.42
